NAME                                                                                     VERSION                               TYPE       
github.com/golang/groupcache                                                             v0.0.0-20210331224755-41bb18bfe9da    go-module  
github.com/golang/protobuf                                                               v1.5.4                                go-module  
github.com/golang/snappy                                                                 v0.0.4                                go-module  
github.com/google/btree                                                                  v1.1.2                                go-module  
github.com/google/cel-go                                                                 v0.17.8                               go-module  
github.com/google/certificate-transparency-go                                            v1.1.7                                go-module  
github.com/google/gnostic-models                                                         v0.6.9-0.20230804172637-c7be7c783f49  go-module  
github.com/google/go-cmp                                                                 v0.6.0                                go-module  
github.com/google/go-containerregistry                                                   v0.20.1                               go-module  
github.com/google/go-containerregistry/pkg/authn/kubernetes                              v0.0.0-20240530172801-3764db238e3e    go-module  
github.com/google/go-github/v55                                                          v55.0.0                               go-module  
github.com/google/go-querystring                                                         v1.1.0                                go-module  
github.com/google/gofuzz                                                                 v1.2.0                                go-module  
github.com/google/s2a-go                                                                 v0.1.7                                go-module  
github.com/google/shlex                                                                  v0.0.0-20191202100458-e7afc7fbc510    go-module  
github.com/google/uuid                                                                   v1.6.0                                go-module  
github.com/googleapis/enterprise-certificate-proxy                                       v0.3.2                                go-module  
github.com/googleapis/gax-go/v2                                                          v2.12.4                               go-module  
github.com/gorilla/mux                                                                   v1.8.1                                go-module  
github.com/gregjones/httpcache                                                           v0.0.0-20190611155906-901d90724c79    go-module  
github.com/grpc-ecosystem/grpc-gateway/v2                                                v2.19.1                               go-module  
github.com/hashicorp/errwrap                                                             v1.1.0                                go-module  
github.com/hashicorp/go-cleanhttp                                                        v0.5.2                                go-module  
github.com/hashicorp/go-multierror                                                       v1.1.1                                go-module  
github.com/hashicorp/go-retryablehttp                                                    v0.7.7                                go-module  
github.com/hashicorp/go-rootcerts                                                        v1.0.2                                go-module  
github.com/hashicorp/go-secure-stdlib/parseutil                                          v0.1.8                                go-module  
github.com/hashicorp/go-secure-stdlib/strutil                                            v0.1.2                                go-module  
github.com/hashicorp/go-sockaddr                                                         v1.0.6                                go-module  
github.com/hashicorp/hcl                                                                 v1.0.1-vault-5                        go-module  
github.com/hashicorp/vault/api                                                           v1.14.0                               go-module  
github.com/imdario/mergo                                                                 v0.3.16                               go-module  
github.com/in-toto/in-toto-golang                                                        v0.9.0                                go-module  
github.com/jedisct1/go-minisign                                                          v0.0.0-20230811132847-661be99b8267    go-module  
github.com/jellydator/ttlcache/v3                                                        v3.2.0                                go-module  
github.com/jinzhu/copier                                                                 v0.4.0                                go-module  
github.com/jmespath/go-jmespath                                                          v0.4.0                                go-module  
github.com/jmoiron/jsonq                                                                 v0.0.0-20150511023944-e874b168d07e    go-module  
github.com/josharian/intern                                                              v1.0.0                                go-module  
github.com/json-iterator/go                                                              v1.1.12                               go-module  
github.com/julienschmidt/httprouter                                                      v1.3.0                                go-module  
github.com/klauspost/compress                                                            v1.17.8                               go-module  
github.com/kylelemons/godebug                                                            v1.1.0                                go-module  
github.com/kyverno/cosign/v2                                                             v2.2.4-deps-fix                       go-module  
github.com/kyverno/go-jmespath                                                           v0.4.1-0.20231124160150-95e59c162877  go-module  
github.com/kyverno/kyverno                                                               v0.0.0-20241210053615-641f9a076e9d    go-module  
github.com/kyverno/pod-security-admission                                                v0.0.0-20240715131510-7fb54a8d376d    go-module  
github.com/letsencrypt/boulder                                                           v0.0.0-20240127020530-97a19b18d21e    go-module  
github.com/liggitt/tabwriter                                                             v0.0.0-20181228230101-89fcab3d43de    go-module  
github.com/magiconair/properties                                                         v1.8.7                                go-module  
github.com/mailru/easyjson                                                               v0.7.7                                go-module  
github.com/matttproud/golang_protobuf_extensions                                         v1.0.4                                go-module  
github.com/mitchellh/go-homedir                                                          v1.1.0                                go-module  
github.com/mitchellh/go-wordwrap                                                         v1.0.1                                go-module  
github.com/mitchellh/mapstructure                                                        v1.5.0                                go-module  
github.com/moby/term                                                                     v0.5.0                                go-module  
github.com/modern-go/concurrent                                                          v0.0.0-20180306012644-bacd9c7ef1dd    go-module  
github.com/modern-go/reflect2                                                            v1.0.2                                go-module  
github.com/monochromegane/go-gitignore                                                   v0.0.0-20200626010858-205db1a8cc00    go-module  
github.com/mozillazg/docker-credential-acr-helper                                        v0.3.0                                go-module  
